x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
774,17443.193201000802,17487.754400000907,8.458495997096398,8.483394033405041,0.8224099997845375,Infinity,20216058,20186370,64833409,0,3.0124273896217346,3.008003532886505,9.660930782556534,0,
775,20.613300000317395,61.85389999952167,8.458490976240856,8.483394033405041,0.8051896668375865,Infinity,20216064,20186370,65523027,0,3.0124282836914062,3.008003532886505,9.763691872358322,0,
776,20.7721989993006,62.197998999617994,8.458490976240856,8.483402438482663,0.8397173787486023,Infinity,20216064,20186360,64161791,0,3.0124282836914062,3.0080020427703857,9.560851901769638,0,
777,20.642001000232995,62.16430100053549,8.458495997096398,8.483394033405041,0.7912395045823399,Infinity,20216058,20186370,66098114,0,3.0124273896217346,3.008003532886505,9.849386513233185,0,
778,20.57620000001043,51.73109999950975,8.458495997096398,8.483402438482663,0.7912395045823399,Infinity,20216058,20186360,66098114,0,3.0124273896217346,3.0080020427703857,9.849386513233185,0,
779,20.784899999387562,62.3880989998579,8.458495997096398,8.483402438482663,0.7982011949269902,Infinity,20216058,20186360,65809238,0,3.0124273896217346,3.0080020427703857,9.806340634822845,0,
780,19.367300000973046,62.150001000612974,8.458495997096398,8.483402438482663,0.8193947265608573,Infinity,20216058,20186360,64952589,0,3.0124273896217346,3.0080020427703857,9.678689986467361,0,
781,19.842499000951648,62.32219900004566,8.458495997096398,8.483402438482663,0.8039037516510752,Infinity,20216058,20186360,65575411,0,3.0124273896217346,3.0080020427703857,9.771497696638107,0,
782,20.837000000290573,62.34990100003779,8.458495997096398,8.483394033405041,0.8039037516510752,Infinity,20216058,20186370,65575411,0,3.0124273896217346,3.008003532886505,9.771497696638107,0,
783,20.454001000151038,62.142500000074506,8.458495997096398,8.483394033405041,0.8116260861094411,Infinity,20216058,20186370,65262702,0,3.0124273896217346,3.008003532886505,9.724900424480438,0,
784,20.733899999409914,62.22279999870807,8.458504365198896,8.483402438482663,0.8158770460528119,Infinity,20216048,20186360,65092461,0,3.0124258995056152,3.0080020427703857,9.69953253865242,0,
785,20.67519999947399,62.205000000074506,8.458504365198896,8.4834100030632,0.7638343100284998,Infinity,20216048,20186351,67273414,0,3.0124258995056152,3.0080007016658783,10.024519860744476,0,
786,20.667100999504328,62.571400000713766,8.458495997096398,8.483402438482663,0.7638343100284998,Infinity,20216058,20186360,67273414,0,3.0124273896217346,3.0080020427703857,10.024519860744476,0,
787,20.940299999900162,62.31649999972433,8.458495997096398,8.483402438482663,0.7884925113780688,Infinity,20216058,20186360,66213152,0,3.0124273896217346,3.0080020427703857,9.866528511047363,0,
788,20.76149900071323,62.030099000781775,8.458498507525842,8.483402438482663,0.7987259120694935,Infinity,20216055,20186360,65787618,0,3.012426942586899,3.0080020427703857,9.803119003772736,0,
789,20.867998999543488,62.452099999412894,8.458498507525842,8.4834100030632,0.8286999486878336,Infinity,20216055,20186351,64586893,0,3.012426942586899,3.0080007016658783,9.624197036027908,0,
790,20.692399999126792,62.053000999614596,8.458504365198896,8.483402438482663,0.7936105381054469,Infinity,20216048,20186360,65999301,0,3.0124258995056152,3.0080020427703857,9.834662228822708,0,
791,20.060800000093877,62.22080000024289,8.458495997096398,8.483402438482663,0.7936105381054469,Infinity,20216058,20186360,65999301,0,3.0124273896217346,3.0080020427703857,9.834662228822708,0,
792,20.44950099941343,62.13910000026226,8.458490976240856,8.483402438482663,0.7958702643490729,Infinity,20216064,20186360,65905538,0,3.0124282836914062,3.0080020427703857,9.82069045305252,0,
793,20.59819999989122,62.222999999299645,8.458495997096398,8.483402438482663,0.8289647366930691,Infinity,20216058,20186360,64576577,0,3.0124273896217346,3.0080020427703857,9.622659832239151,0,
794,20.40970000065863,62.23320000059903,8.458495997096398,8.483402438482663,0.8221282121328982,Infinity,20216058,20186360,64844519,0,3.0124273896217346,3.0080020427703857,9.66258630156517,0,
795,20.74260099977255,62.202200000174344,8.458504365198896,8.483402438482663,0.8221282121328982,Infinity,20216048,20186360,64844519,0,3.0124258995056152,3.0080020427703857,9.66258630156517,0,
796,20.61819899920374,62.17719899956137,8.458504365198896,8.483394033405041,0.8183910951801419,Infinity,20216048,20186370,64992404,0,3.0124258995056152,3.008003532886505,9.684622883796692,0,
797,20.60389900021255,67.3183000003919,8.458495997096398,8.483394033405041,0.8062077137612285,Infinity,20216058,20186370,65481644,0,3.0124273896217346,3.008003532886505,9.757525324821472,0,
798,20.54960099980235,62.27890099957585,8.458504365198896,8.483402438482663,0.8219175874305742,Infinity,20216048,20186360,64852827,0,3.0124258995056152,3.0080020427703857,9.663824290037155,0,
799,20.47590000089258,67.31840000115335,8.458504365198896,8.483402438482663,0.8239898515913938,Infinity,20216048,20186360,64771226,0,3.0124258995056152,3.0080020427703857,9.651664793491364,0,
800,20.78510000091046,62.407999999821186,8.458504365198896,8.483402438482663,0.8056616355670828,Infinity,20216048,20186360,65503832,0,3.0124258995056152,3.0080020427703857,9.760831594467163,0,
801,19.519299998879433,62.11139899864793,8.458495997096398,8.483402438482663,0.8056616355670828,Infinity,20216058,20186360,65503832,0,3.0124273896217346,3.0080020427703857,9.760831594467163,0,
802,20.583599000237882,62.28300000075251,8.458504365198896,8.483402438482663,0.8029785626571616,Infinity,20216048,20186360,65613178,0,3.0124258995056152,3.0080020427703857,9.777125418186188,0,
803,20.618199000135064,62.12170000001788,8.458495997096398,8.483402438482663,0.8029005873645411,Infinity,20216058,20186360,65616364,0,3.0124273896217346,3.0080020427703857,9.777600169181824,0,
804,19.526600000448525,62.231901000253856,8.458495997096398,8.483402438482663,0.8109196686832306,Infinity,20216058,20186360,65291122,0,3.0124273896217346,3.0080020427703857,9.72913533449173,0,
805,20.66389999911189,62.16709999926388,8.458504365198896,8.483402438482663,0.8109196686832306,Infinity,20216048,20186360,65291122,0,3.0124258995056152,3.0080020427703857,9.72913533449173,0,
806,20.612200000323355,62.12800000049174,8.458504365198896,8.483394033405041,0.7724354653240084,Infinity,20216048,20186370,66897817,0,3.0124258995056152,3.008003532886505,9.96855154633522,0,
807,20.664099998772144,62.36669999919832,8.458504365198896,8.483394033405041,0.8013965637590905,Infinity,20216048,20186370,65677908,0,3.0124258995056152,3.008003532886505,9.786770939826965,0,
808,20.754600999876857,62.27540000062436,8.458504365198896,8.483402438482663,0.8160511227642634,Infinity,20216048,20186360,65085518,0,3.0124258995056152,3.0080020427703857,9.698497951030731,0,
809,20.542401000857353,62.28180000092834,8.458495997096398,8.483394033405041,0.8189866991955195,Infinity,20216058,20186370,64968767,0,3.0124273896217346,3.008003532886505,9.681100696325302,0,
810,20.82230000104755,62.168099999427795,8.458495997096398,8.483402438482663,0.8189866991955195,Infinity,20216058,20186360,64968767,0,3.0124273896217346,3.0080020427703857,9.681100696325302,0,
811,20.011599000543356,62.2060989998281,8.458504365198896,8.483402438482663,0.8228234827730226,Infinity,20216048,20186360,64817117,0,3.0124258995056152,3.0080020427703857,9.658503085374832,0,
812,20.573601000010967,62.119900999590755,8.458495997096398,8.483394033405041,0.7259102634712028,Infinity,20216058,20186370,69008340,0,3.0124273896217346,3.008003532886505,10.28304398059845,0,
813,20.79059899970889,62.30329899955541,8.458495997096398,8.483402438482663,0.7612611377024612,Infinity,20216058,20186360,67387015,0,3.0124273896217346,3.0080020427703857,10.0414477288723,0,
814,20.687899000011384,62.30780000053346,8.458504365198896,8.483402438482663,0.7612611377024612,Infinity,20216048,20186360,67387015,0,3.0124258995056152,3.0080020427703857,10.0414477288723,0,
815,20.66309900023043,62.049700000323355,8.458504365198896,8.4834100030632,0.7956209068267006,Infinity,20216048,20186351,65915865,0,3.0124258995056152,3.0080007016658783,9.82222929596901,0,
816,20.5412989994511,62.244299999438226,8.458506875632064,8.4834100030632,0.8398073232670878,Infinity,20216045,20186351,64158355,0,3.0124254524707794,3.0080007016658783,9.560339897871017,0,
817,20.603600000962615,62.182201000861824,8.458506875632064,8.483402438482663,0.799660007426892,Infinity,20216045,20186360,65749183,0,3.0124254524707794,3.0080020427703857,9.79739174246788,0,
818,20.815499999560416,62.361699999310076,8.458498507525842,8.483402438482663,0.8085330200924596,Infinity,20216055,20186360,65387415,0,3.012426942586899,3.0080020427703857,9.743484109640121,0,
819,20.669599000364542,62.10899900086224,8.458495997096398,8.483402438482663,0.8085330200924596,Infinity,20216058,20186360,65387415,0,3.0124273896217346,3.0080020427703857,9.743484109640121,0,
820,20.891298999078572,62.425599998794496,8.458504365198896,8.483402438482663,0.8131634524617685,Infinity,20216048,20186360,65200980,0,3.0124258995056152,3.0080020427703857,9.715703129768372,0,
821,20.508200000971556,62.124801001511514,8.458506875632064,8.4834100030632,0.8137667171023212,Infinity,20216045,20186351,65176808,0,3.0124254524707794,3.0080007016658783,9.712101221084595,0,
822,20.78059899993241,62.30999899934977,8.458506875632064,8.483402438482663,0.8274827012014336,Infinity,20216045,20186360,64634380,0,3.0124254524707794,3.0080020427703857,9.63127315044403,0,
823,20.731699999421835,62.110800999216735,8.458504365198896,8.483402438482663,0.8274827012014336,Infinity,20216048,20186360,64634380,0,3.0124258995056152,3.0080020427703857,9.63127315044403,0,
824,19.592999999411404,62.20090000052005,8.458495997096398,8.483402438482663,0.8188302577692261,Infinity,20216058,20186360,64974973,0,3.0124273896217346,3.0080020427703857,9.682025462388992,0,
825,20.885100999847054,62.2597000002861,8.458504365198896,8.483402438482663,0.8043162861844929,Infinity,20216048,20186360,65558592,0,3.0124258995056152,3.0080020427703857,9.768991470336914,0,
826,20.65380100067705,62.12430000025779,8.458504365198896,8.4834100030632,0.8286901460620302,Infinity,20216048,20186351,64587275,0,3.0124258995056152,3.0080007016658783,9.624253958463669,0,
827,20.586499999277294,62.42609999887645,8.458506875632064,8.483402438482663,0.8319466108547847,Infinity,20216045,20186360,64460745,0,3.0124254524707794,3.0080020427703857,9.605399519205093,0,
828,21.282999999821186,62.59400000050664,8.458504365198896,8.483402438482663,0.8319466108547847,Infinity,20216048,20186360,64460745,0,3.0124258995056152,3.0080020427703857,9.605399519205093,0,
829,20.863200000487268,61.789800000377,8.458498507525842,8.483402438482663,0.8361315693274407,Infinity,20216055,20186360,64299225,0,3.012426942586899,3.0080020427703857,9.58133116364479,0,
830,20.945700000040233,62.40110000036657,8.458504365198896,8.4834100030632,0.824767662577585,Infinity,20216048,20186351,64740677,0,3.0124258995056152,3.0080007016658783,9.647112637758255,0,
831,19.370298999361694,62.0260989991948,8.458504365198896,8.4834100030632,0.8231973373788988,Infinity,20216048,20186351,64802397,0,3.0124258995056152,3.0080007016658783,9.656309634447098,0,
832,20.498000000603497,62.26820100098848,8.458506875632064,8.483402438482663,0.8231973373788988,Infinity,20216045,20186360,64802397,0,3.0124254524707794,3.0080020427703857,9.656309634447098,0,
