x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
51485,18145.30460000038,18166.076399564743,8.112479284525758,8.486595590479315,Infinity,Infinity,20642688,20182562,0,0,3.076000213623047,3.0074360966682434,0,0,
51486,20.71969997882843,62.27069926261902,8.113121476964675,8.486595590479315,Infinity,Infinity,20641871,20182562,0,0,3.075878471136093,3.0074360966682434,0,0,
51487,20.33459997177124,51.83560037612915,8.113121476964675,8.486590544583672,Infinity,Infinity,20641871,20182568,0,0,3.075878471136093,3.007436990737915,0,0,
51488,20.979100108146667,62.46780014038086,8.113810916503459,8.486590544583672,Infinity,Infinity,20640994,20182568,0,0,3.075747787952423,3.007436990737915,0,0,
51489,11.418300151824951,52.644999504089355,8.114336899255411,8.486595590479315,Infinity,Infinity,20640325,20182562,0,0,3.0756480991840363,3.0074360966682434,0,0,
51490,20.61550009250641,61.07719945907593,8.113609657111327,8.486606523268646,Infinity,Infinity,20641250,20182549,0,0,3.0757859349250793,3.007434159517288,0,0,
51491,18.564101099967957,67.42390012741089,8.113416266469285,8.486606523268646,Infinity,Infinity,20641496,20182549,0,0,3.075822591781616,3.007434159517288,0,0,
51492,21.001500010490417,52.18090009689331,8.114027907674526,8.486598113428823,Infinity,Infinity,20640718,20182559,0,0,3.075706660747528,3.0074356496334076,0,0,
51493,10.039600014686584,51.30799961090088,8.114027907674526,8.486604000315387,Infinity,Infinity,20640718,20182552,0,0,3.075706660747528,3.007434606552124,0,0,
51494,20.679200053215027,59.825600147247314,8.11357821100773,8.486604000315387,Infinity,Infinity,20641290,20182552,0,0,3.075791895389557,3.007434606552124,0,0,
51495,20.210000038146973,62.3176007270813,8.113980734940352,8.486598113428823,Infinity,Infinity,20640778,20182559,0,0,3.0757156014442444,3.0074356496334076,0,0,
