x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
66880,17421.124500870705,17459.687700271606,8.296071174611463,8.485330893443118,Infinity,Infinity,20412999,20184066,0,0,3.04177388548851,3.007660210132599,0,0,
66881,18.54970097541809,54.52449917793274,8.296159772960086,8.485330893443118,Infinity,Infinity,20412890,20184066,0,0,3.041757643222809,3.007660210132599,0,0,
66882,20.580099940299988,62.16479992866516,8.29615164461209,8.485330893443118,Infinity,Infinity,20412900,20184066,0,0,3.0417591333389282,3.007660210132599,0,0,
66883,20.654199957847595,62.15799903869629,8.29616790132003,8.485314918360661,Infinity,Infinity,20412880,20184085,0,0,3.0417561531066895,3.0076630413532257,0,0,
66884,20.658900022506714,62.12610125541687,8.296352418304165,8.485330893443118,Infinity,Infinity,20412653,20184066,0,0,3.0417223274707794,3.007660210132599,0,0,
66885,20.79659903049469,62.30819916725159,8.296102874774975,8.48532248549936,Infinity,Infinity,20412960,20184076,0,0,3.0417680740356445,3.0076617002487183,0,0,
66886,20.810200929641724,62.29070067405701,8.296079302841193,8.485330893443118,Infinity,Infinity,20412989,20184066,0,0,3.0417723953723907,3.007660210132599,0,0,
66887,20.683698892593384,62.03789949417114,8.296119944169048,8.48532248549936,Infinity,Infinity,20412939,20184076,0,0,3.041764944791794,3.0076617002487183,0,0,
66888,20.642499089241028,62.16260027885437,8.296271945382363,8.485330893443118,Infinity,Infinity,20412752,20184066,0,0,3.0417370796203613,3.007660210132599,0,0,
66889,20.295499086380005,62.165199756622314,8.29591186372025,8.485330893443118,Infinity,Infinity,20413195,20184066,0,0,3.04180309176445,3.007660210132599,0,0,
66890,20.650299906730652,62.160300731658936,8.296119944169048,8.48532248549936,Infinity,Infinity,20412939,20184076,0,0,3.041764944791794,3.0076617002487183,0,0,
66891,12.315099000930786,53.848899126052856,8.29595169101284,8.485330893443118,Infinity,Infinity,20413146,20184066,0,0,3.041795790195465,3.007660210132599,0,0,
66892,20.699798941612244,60.23870015144348,8.296375991401971,8.48532248549936,Infinity,Infinity,20412624,20184076,0,0,3.041718006134033,3.0076617002487183,0,0,
66893,15.959000945091248,64.72760200500488,8.2959988338931,8.485330893443118,Infinity,Infinity,20413088,20184066,0,0,3.0417871475219727,3.007660210132599,0,0,
66894,20.75,59.78950071334839,8.296144329109106,8.485330893443118,Infinity,Infinity,20412909,20184066,0,0,3.0417604744434357,3.007660210132599,0,0,
66895,20.31660008430481,62.20490050315857,8.29613620078381,8.48532248549936,Infinity,Infinity,20412919,20184076,0,0,3.041761964559555,3.0076617002487183,0,0,
66896,20.795400977134705,62.3315007686615,8.296119944169048,8.485330893443118,Infinity,Infinity,20412939,20184066,0,0,3.041764944791794,3.007660210132599,0,0,
66897,20.520401000976562,54.39769983291626,8.296102874774975,8.485330893443118,Infinity,Infinity,20412960,20184066,0,0,3.0417680740356445,3.007660210132599,0,0,
66898,20.950000047683716,62.41119980812073,8.296095559336498,8.485330893443118,Infinity,Infinity,20412969,20184066,0,0,3.041769415140152,3.007660210132599,0,0,
66899,20.675400018692017,61.90989971160889,8.296119944169048,8.485330893443118,Infinity,Infinity,20412939,20184066,0,0,3.041764944791794,3.007660210132599,0,0,
66900,20.83809995651245,62.303099393844604,8.296119944169048,8.485330893443118,Infinity,Infinity,20412939,20184066,0,0,3.041764944791794,3.007660210132599,0,0,
66901,20.698801040649414,62.177900314331055,8.296199602037946,8.485330893443118,Infinity,Infinity,20412841,20184066,0,0,3.041750341653824,3.007660210132599,0,0,
66902,18.791200041770935,57.132800579071045,8.296159772960086,8.485330893443118,Infinity,Infinity,20412890,20184066,0,0,3.041757643222809,3.007660210132599,0,0,
66903,18.221999049186707,59.598599433898926,8.296079302841193,8.485330893443118,Infinity,Infinity,20412989,20184066,0,0,3.0417723953723907,3.007660210132599,0,0,
66904,20.742300033569336,59.557801485061646,8.296383307211377,8.485330893443118,Infinity,Infinity,20412615,20184066,0,0,3.0417166650295258,3.007660210132599,0,0,
66905,20.59179985523224,62.161399126052856,8.296128072470456,8.485339301399373,Infinity,Infinity,20412929,20184056,0,0,3.0417634546756744,3.0076587200164795,0,0,
66906,18.332000017166138,51.920899391174316,8.296255688368609,8.48532248549936,Infinity,Infinity,20412772,20184076,0,0,3.0417400598526,3.0076617002487183,0,0,
66907,20.689000010490417,62.08600091934204,8.296280886760302,8.485330893443118,Infinity,Infinity,20412741,20184066,0,0,3.04173544049263,3.007660210132599,0,0,
66908,20.70560109615326,62.28369998931885,8.29616790132003,8.48532248549936,Infinity,Infinity,20412880,20184076,0,0,3.0417561531066895,3.0076617002487183,0,0,
66909,20.679200053215027,62.102099895477295,8.29591186372025,8.485339301399373,Infinity,Infinity,20413195,20184056,0,0,3.04180309176445,3.0076587200164795,0,0,
66910,21.117200016975403,70.57409954071045,8.296199602037946,8.485330893443118,Infinity,Infinity,20412841,20184066,0,0,3.041750341653824,3.007660210132599,0,0,
66911,20.831300020217896,61.811500787734985,8.296000459516828,8.485339301399373,Infinity,Infinity,20413086,20184056,0,0,3.041786849498749,3.0076587200164795,0,0,
66912,20.44319999217987,62.178300619125366,8.296071174611463,8.485330893443118,Infinity,Infinity,20412999,20184066,0,0,3.04177388548851,3.007660210132599,0,0,
66913,20.699699997901917,62.212599754333496,8.296128072470456,8.485330893443118,Infinity,Infinity,20412929,20184066,0,0,3.0417634546756744,3.007660210132599,0,0,
