True,0,1,2,3,4,5,6,All
0,0,2,4,0,1,0,3,10
1,0,7,0,2,0,0,1,10
2,0,1,4,0,1,1,3,10
3,0,6,0,1,1,0,2,10
4,0,0,0,0,4,0,6,10
5,0,0,1,3,1,0,5,10
6,0,2,0,1,5,0,2,10
All,0,18,9,7,13,1,22,70
