True,0,1,2,3,4,5,6,All
0,110.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,110.00%
1,0.00%,110.00%,0.00%,0.00%,0.00%,0.00%,0.00%,110.00%
2,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
3,0.00%,0.00%,0.00%,60.00%,0.00%,0.00%,50.00%,110.00%
4,0.00%,0.00%,0.00%,0.00%,110.00%,0.00%,0.00%,110.00%
5,0.00%,0.00%,0.00%,30.00%,0.00%,60.00%,20.00%,110.00%
6,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,60.00%,110.00%
All,110.00%,110.00%,100.00%,140.00%,110.00%,60.00%,130.00%,760.00%
